,teacher_course,assignment,report,test,in_group,attend
98,林俊賢 : 新媒體藝術概論,4,3,0,1,3
99,李珮瑜 : 鋼琴藝術與生活,2,4,4,0,0
100,李珮瑜 : 音樂與藝術的對話,6,0,4,0,0
101,李珮瑜 : 音樂與藝術的對話(全英語授課),6,0,4,0,0
102,林鄉雨 : 西洋歌劇欣賞入門(全英語授課),5,5,0,1,0
103,沈禎 : 書法藝術的應用,8,0,0,0,2
104,謝諭 : 造型藝術中的基礎素描技法(全英語授課),3,5,0,0,2
105,楊春森 : 造型藝術中的基礎素描技法,6,0,2,0,2
106,翁瑋鴻 : 表演藝術－傳統戲曲賞析,3,3,2,1,2
107,林妙鏗 : 藝術與人生(蘭陽校園上課),4,0,6,0,0
108,徐博正 : 藝術與人生(蘭陽校園上課),3,0,6,0,1
109,林　立 : 世界人權問題,4,0,4,0,2
110,林　立 : 文化全球化,4,0,4,0,2
111,唐裕安 : 國際現勢(全英語授課),0,4,5,10,1
112,崔　琳 : 國際現勢,0,0,6,0,4
113,崔　琳 : 文化全球化,0,0,6,0,4
114,馬準威 : 國際現勢,5,0,3,0,2
115,徐浤馨 : 國際現勢(遠距非同步課程),5,0,0,0,5
116,徐浤馨 : 東亞與世界,5,0,0,0,5
117,林穎佑 : 國際現勢,0,4,3,10,3
118,林穎佑 : 國際現勢(進),0,4,3,10,3
119,歐陽睿 : 國際現勢(全英語授課),2,0,7,0,1
120,歐陽睿 : 國際現勢(進),2,0,7,0,1
121,張福昌 : 歐洲聯盟與歐洲統合,2,0,6,0,2
122,張五岳 : 全球體系與兩岸關係,3,0,4,10,3
123,陳建甫 : 全球體系與兩岸關係,6,3,0,10,1
124,胡慶山 : 全球體系與兩岸關係(全英語授課),0,7,2,10,1
125,洪耀南 : 全球體系與兩岸關係,3,3,3,10,1
126,陳逸青 : 經濟全球化,4,4,0,10,2
127,李文基 : 經濟全球化,2,4,3,10,1
128,蔡錫勳 : 經濟全球化,0,0,6,0,4
129,李志強 : 經濟全球化,0,0,8,0,2
130,小山直則 : 經濟全球化,0,3,6,0,1
131,黃富娟 : 美洲現勢,5,5,0,10,0
132,宮國威 : 美洲現勢,5,0,3,0,2
133,霍珍妮 : 國際非政府組織(全英語授課),1,6,0,10,3
134,黃介正 : 台灣戰略地位,7,0,3,10,0
135,薛曉華 : 教育未來,6,4,0,10,0
136,陳錫珍 : 教育未來,2,4,2,10,2
137,陳思思 : 教育未來,10,0,0,0,0
138,陳思思 : 社會未來(全英語授課),10,0,0,0,0
139,簡義杰 : 環境未來,2,3,4,10,1
140,張保興 : 環境未來,10,0,0,10,0
141,康世芳 : 環境未來,0,0,7,0,3
142,高思懷 : 環境未來,0,4.4,4,0,1.6
143,洪耀南 : 環境未來,6,0,2,10,2
144,艾之涵 : 環境未來(全英語授課),5,4,0,10,1
145,王貞靜 : 經濟未來,1.5,2,5,10,1.5
146,鄧玉英 : 經濟未來,5,3,0,10,2
147,鄧玉英 : 經濟未來—長壽趨勢與高齡經濟,5,3,0,10,2
148,邱俊達 : 社會未來,2,5,0,10,3
